2016/11/11
UC Riverside 62, UNLV 74
San Francisco 75, UC Santa Barb. 63
San Diego Christian 58, San Diego State 81

2016/11/17
Western Mich. 65, Villanova 76
Valparaiso 54, Oregon 76
Chicago State 51, Wisconsin 69
Xavier 83, Missouri 82
Long Beach St. 56, Louisville 88
San Diego 68, UCLA 88
Eastern Wash. 52, Texas 85
Mississippi Coll. 55, Nicholls State 86
Wake Forest 103, UTEP 81
UNI 82, Arizona State 63
Mississippi St. 61, UCF 86
Arkansas State 78, Georgetown 72
Abilene Christian 65, New Hampshire 57
UNC Asheville 73, S.C. Upstate 57
Chowan 69, Hampton 70
Marygrove 58, Cent. Michigan 107
American 62, Akron 72
Temple 67, Massachusetts 70
Ark.-Pine Bluff 41, Geo. Washington 61
Fla. Christian 91, Florida A&M 100
Boise State 47, Charleston 60
Providence 67, Ohio State 72
East Carolina 64, Charlotte 76
Furman 78, Georgia 84
Elon 74, South Florida 61
Warren Wilson 51, Appalachian St. 119
Lehigh 81, Yale 89
Tulane 70, Oklahoma 89
NJIT 83, Lafayette 84
Pittsburgh 67, SMU 76
Fisher 51, Harvard 78
St. Bonaventure 66, Florida 73
Middle Ga. St. 93, Savannah State 101
St. Mary's (Md.) 45, Maryland 93
Nazareth 38, Buffalo 85
Wilmington (Del.) 73, Morgan State 88
Southern Univ. 83, Sam Houston St. 91
Okla. Panhandle 47, La.-Lafayette 117
Eastern Illinois 69, Saint Louis 74
N.C. A&T 55, Grambling 59
Troy 51, UAB 74
Doane 46, South Dakota 80
Fontbonne 27, Missouri State 100
Alabama A&M 61, Tennessee Tech 95
Rutgers 66, DePaul 59
Benedictine Mesa 63, Northern Ariz. 91
Eastern Kentucky 64, Auburn 85
La.-Monroe 70, Colorado 89
Seton Hall 91, Iowa 83
Coppin State 59, BYU 96
Michigan 79, Marquette 61
Weber State 49, Stanford 67
LIFE Pacific 79, Pepperdine 85
Connecticut 65, Loyola Marym't 62
Holy Names 75, UC Davis 89
CSU Dom. Hills 64, Cal Poly 75
Denver 74, San Jose State 69
George Fox 81, Portland State 113
Antelope Valley 60, Sacramento St. 82
Clemson 95, Davidson 78
CSU Fullerton 88, Washington 104

2016/11/18
Villanova 96, Wake Forest 77
North Carolina 83, Hawaii 68
Siena 65, Kansas 86
Sacred Heart 65, Arizona 95
Clemson 77, Xavier 83
Miss. Valley St. 53, Michigan State 100
Bryant 70, Gonzaga 109
Georgia State 56, Purdue 64
Monmouth 50, Syracuse 71
Washington St. 77, Creighton 103
LeTourneau 87, N'western St. 92
Howard 55, IUPUI 77
Mississippi 95, Oral Roberts 88
Western Mich. 75, UTEP 85
North Dakota St. 66, Navy 59
Pittsburgh 78, Marquette 75
Austin Peay 77, Northern Kentucky 69
Arizona State 80, Tulane 71
Youngstown St. 54, Jacksonville 79
Montana 72, NC State 85
Northeastern 63, Boston U. 65
Fairleigh D'son 55, Fordham 68
S. Carolina St. 50, South Carolina 92
Delaware 68, Miami (Ohio) 66
Winthrop 86, Florida State 100
Hiram 55, Kent State 111
Salem Int'l 74, Longwood 87
Trinity (Fla.) 52, Bethune-Cookman 82
USC 65, Texas A&M 63
Jacksonville St. 60, TCU 79
Loyola (Md.) 48, Notre Dame 83
Hartford 73, Drexel 87
Canisius 78, Duquesne 77
Citadel 116, Stetson 112
Goshen 59, Oakland 102
Hofstra 68, Manhattan 80
Binghamton 42, VCU 81
UNC-Greensboro 57, High Point 63
UNI 73, Oklahoma 67
