WEEK 1
Charleston So. 59, Coastal Caro. 58
Middle Tenn. 30, North Texas 13
Florida Atlantic 31, FIU 33
UTEP 7, Louisiana Tech 28
Houston Baptist 3, Western Ky. 50
Rice 28, Southern Miss 44
South Florida 45, Cincinnati 20
Western Mich. 49, Cent. Michigan 10
Incarnate Word 17, Texas State 48
Marshall 27, Pittsburgh 43
Missouri 7, LSU 42
La.-Lafayette 31, New Mexico St. 37
Arizona State 20, USC 41
Oregon 33, Washington St. 51
Wyoming 38, Colorado State 17
Fresno State 20, UNLV 45
Arizona 24, UCLA 45
 
WEEK 6 
Wednesday, October   05, 2016
Ga. Southern 26, Arkansas State 27
Thursday , October   06, 2016
Temple 27, Memphis 34
Western Ky. 52, Louisiana Tech 55
Friday   , October   07, 2016
Clemson 56, Boston College 10
Boise State 49, New Mexico 21
SMU 40, Tulsa 43
Massachusetts 16, Old Dominion 36
(postponed) Tulane vs UCF
Saturday , October   08, 2016
Alabama 49, Arkansas 30
Indiana 17, Ohio State 38
Michigan 78, Rutgers 0
Washington 70, Oregon 21
Houston 40, Navy 46
Tennessee 38, Texas A&M 45
Florida State 20, Miami (Fla.) 19
Washington St. 42, Stanford 16
Virginia Tech 34, North Carolina 3
Oklahoma 45, Texas 40
Colorado 17, USC 21
Arizona 23, Utah 36
Cincinnati 9, Connecticut 20
Iowa 14, Minnesota 7
Maryland 14, Penn State 38
East Carolina 22, South Florida 38
Auburn 38, Mississippi St. 14
Southern Miss 32, UTSA 55
Notre Dame 3, NC State 10
TCU 24, Kansas 23
Georgia Tech 34, Pittsburgh 37
Bowling Green 24, Ohio 30
Toledo 35, Eastern Mich. 20
Miami (Ohio) 13, Akron 35
Air Force 26, Wyoming 35
Purdue 34, Illinois 31
Kent State 44, Buffalo 20
Texas State 21, Georgia State 41
Iowa State 31, Oklahoma State 38
Ball State 21, Cent. Michigan 24
BYU 31, Michigan State 14
Army West Point 6, Duke 13
Vanderbilt 13, Kentucky 20
Hawaii 34, San Jose State 17
Northern Ill. 30, Western Mich. 45
Texas Tech 38, Kansas State 44
Marshall 21, North Texas 38
Fresno State 22, Nevada 27
Idaho 34, La.-Monroe 31
Syracuse 9, Wake Forest 28
FIU 35, UTEP 21
California 44, Oregon State 47
Utah State 24, Colorado State 31
UCLA 20, Arizona State 23
UNLV 7, San Diego State 26
(postponed) LSU vs Florida
Sunday   , October   09, 2016
Charlotte 28, Florida Atlantic 23
Georgia 28, South Carolina 14
 
WEEK 7 
Wednesday, October   12, 2016
Appalachian St. 24, La.-Lafayette 0
Thursday , October   13, 2016
(postponed) Navy vs East Carolina
Friday   , October   14, 2016
Duke 14, Louisville 24
Memphis 24, Tulane 14
San Diego State 17, Fresno State 3
Mississippi St. 21, BYU 28
Saturday , October   15, 2016
Alabama 49, Tennessee 10
Ohio State 30, Wisconsin 23
NC State 17, Clemson 24
Nebraska 27, Indiana 22
Kansas 7, Baylor 49
Mississippi 30, Arkansas 34
Tulsa 31, Houston 38
Wake Forest 6, Florida State 17
Colorado State 23, Boise State 28
North Carolina 20, Miami (Fla.) 13
Virginia Tech 17, Syracuse 31
Missouri 14, Florida 40
Kansas State 17, Oklahoma 38
West Virginia 48, Texas Tech 17
Utah 19, Oregon State 14
Western Mich. 41, Akron 0
UNLV 41, Hawaii 38
Illinois 24, Rutgers 7
Lafayette 7, Army West Point 62
Minnesota 31, Maryland 10
Vanderbilt 17, Georgia 16
Iowa 49, Purdue 35
Ga. Southern 24, Georgia Tech 35
Pittsburgh 45, Virginia 31
Coastal Caro. 17, Gardner-Webb 7
Eastern Mich. 27, Ohio 20
Kent State 14, Miami (Ohio) 18
Western Ky. 44, Middle Tenn. 43
Georgia State 21, Troy 31
Louisiana Tech 56, Massachusetts 28
Northwestern 54, Michigan State 40
Air Force 40, New Mexico 45
Bowling Green 35, Toledo 42
USC 48, Arizona 14
Cent. Michigan 34, Northern Ill. 28
Ball State 31, Buffalo 21
New Mexico St. 23, Idaho 55
FIU 27, Charlotte 26
Texas State 34, La.-Monroe 40
Iowa State 6, Texas 27
Florida Atlantic 21, Marshall 27
South Alabama 7, Arkansas State 17
Connecticut 27, South Florida 42
UTSA 14, Rice 13
Southern Miss 10, LSU 45
Stanford 17, Notre Dame 10
Temple 26, UCF 25
Arizona State 16, Colorado 40
Nevada 10, San Jose State 14
UCLA 21, Washington St. 27
 
WEEK 8 
Thursday , October   20, 2016
BYU 27, Boise State 28
Miami (Fla.) 16, Virginia Tech 37
Troy 28, South Alabama 21
Friday   , October   21, 2016
South Florida 30, Temple 46
Oregon 49, California 52
San Jose State 3, San Diego State 42
Saturday , October   22, 2016
Texas A&M 14, Alabama 33
Ohio State 21, Penn State 24
Illinois 8, Michigan 41
Oregon State 17, Washington 41
NC State 13, Louisville 54
Purdue 14, Nebraska 27
Wisconsin 17, Iowa 9
Houston 16, SMU 38
TCU 10, West Virginia 34
Oklahoma 66, Texas Tech 59
Arkansas 3, Auburn 56
Utah 52, UCLA 45
Eastern Mich. 31, Western Mich. 45
North Carolina 35, Virginia 14
Mississippi 21, LSU 38
Memphis 28, Navy 42
Rutgers 32, Minnesota 34
Massachusetts 28, South Carolina 34
Oklahoma State 44, Kansas 20
Indiana 14, Northwestern 24
Miami (Ohio) 40, Bowling Green 26
UCF 24, Connecticut 16
North Texas 35, Army West Point 18
Texas 21, Kansas State 24
Cent. Michigan 17, Toledo 31
Syracuse 28, Boston College 20
Ohio 14, Kent State 10
Hawaii 34, Air Force 27
Cent. Conn. St. 25, Coastal Caro. 33
Colorado 10, Stanford 5
Akron 35, Ball State 25
Buffalo 7, Northern Ill. 44
Tennessee-Martin 6, Georgia State 31
Prairie View A&M 44, Rice 65
Idaho 19, Appalachian St. 37
Tulane 27, Tulsa 50
Middle Tenn. 51, Missouri 45
Charlotte 27, Marshall 24
Colorado State 42, UNLV 23
La.-Lafayette 27, Texas State 3
East Carolina 19, Cincinnati 31
Louisiana Tech 44, FIU 24
UTEP 52, UTSA 49
Old Dominion 24, Western Ky. 59
Michigan State 17, Maryland 28
Tennessee State 17, Vanderbilt 35
Mississippi St. 38, Kentucky 40
Ga. Southern 22, New Mexico St. 19
La.-Monroe 17, New Mexico 59
Washington St. 37, Arizona State 32
Wyoming 42, Nevada 34
Fresno State 20, Utah State 38
 
WEEK 9 
Thursday , October   27, 2016
Virginia Tech 39, Pittsburgh 36
Ohio 31, Toledo 26
Akron 20, Buffalo 41
Appalachian St. 34, Ga. Southern 10
California 24, USC 45
Friday   , October   28, 2016
Navy 45, South Florida 52
San Diego State 40, Utah State 13
Air Force 31, Fresno State 21
Saturday , October   29, 2016
Michigan 32, Michigan State 23
Clemson 37, Florida State 34
Washington 31, Utah 24
Louisville 32, Virginia 25
Northwestern 20, Ohio State 24
